TRACE #1
--------------------------
{'E1': 0.0}
{'S': 0.0, 'E1': 0.0}
{'S': 160.0, 'E1': 0.0, 'E0': 0.0}
{'S': 160.0, 'E1': 0.0, 'E0': 0.0}
{'S': 160.0, 'E1': 0.0, 'E0': 160.0}
{'S': 400.0, 'E1': 0.0, 'E0': 160.0}
{'S': 400.0, 'E1': 240.0, 'E0': 160.0}
{'S': 400.0, 'E1': 240.0, 'E0': 400.0}
{'S': 993.0, 'E1': 240.0, 'E0': 400.0}
{'S': 993.0, 'E1': 832.0, 'E0': 400.0}
{'S': 993.0, 'E1': 832.0, 'E0': 993.0}
{'S': 543.0, 'E1': 832.0, 'E0': 993.0}
{'S': 543.0, 'E1': 381.0, 'E0': 993.0}
{'S': 543.0, 'E1': 381.0, 'E0': 543.0}
{'S': 368.0, 'E1': 381.0, 'E0': 543.0}
{'S': 368.0, 'E1': 0.0, 'E0': 543.0}
{'S': 368.0, 'E1': 0.0, 'E0': 368.0}
{'S': 262.0, 'E1': 0.0, 'E0': 368.0}
{'S': 262.0, 'E1': -106.0, 'E0': 368.0}
{'S': 262.0, 'E1': -106.0, 'E0': 262.0}
{'S': 691.0, 'E1': -106.0, 'E0': 262.0}
{'S': 691.0, 'E1': 323.0, 'E0': 262.0}
{'S': 691.0, 'E1': 323.0, 'E0': 691.0}
{'S': 588.0, 'E1': 323.0, 'E0': 691.0}
{'S': 588.0, 'E1': 219.0, 'E0': 691.0}
{'S': 588.0, 'E1': 219.0, 'E0': 588.0}
{'S': 337.0, 'E1': 219.0, 'E0': 588.0}
{'S': 337.0, 'E1': -32.0, 'E0': 588.0}
{'S': 337.0, 'E1': -32.0, 'E0': 337.0}
{'S': 667.0, 'E1': -32.0, 'E0': 337.0}
{'S': 667.0, 'E1': 0.0, 'E0': 337.0}
{'S': 667.0, 'E1': 0.0, 'E0': 667.0}
{'S': 811.0, 'E1': 0.0, 'E0': 667.0}
{'S': 811.0, 'E1': 0.0, 'E0': 667.0}
{'S': 811.0, 'E1': 0.0, 'E0': 811.0}
{'S': 637.0, 'E1': 0.0, 'E0': 811.0}
{'S': 637.0, 'E1': 0.0, 'E0': 811.0}
{'S': 637.0, 'E1': 0.0, 'E0': 637.0}
{'S': 833.0, 'E1': 0.0, 'E0': 637.0}
{'S': 833.0, 'E1': 0.0, 'E0': 637.0}
{'S': 833.0, 'E1': 0.0, 'E0': 833.0}
{'S': 660.0, 'E1': 0.0, 'E0': 833.0}
{'S': 660.0, 'E1': 0.0, 'E0': 833.0}
{'S': 660.0, 'E1': 0.0, 'E0': 660.0}
{'S': 965.0, 'E1': 0.0, 'E0': 660.0}
{'S': 965.0, 'E1': 305.0, 'E0': 660.0}
{'S': 965.0, 'E1': 305.0, 'E0': 965.0}
{'S': 764.0, 'E1': 305.0, 'E0': 965.0}
{'S': 764.0, 'E1': 0.0, 'E0': 965.0}
{'S': 764.0, 'E1': 0.0, 'E0': 764.0}
{'S': 205.0, 'E1': 0.0, 'E0': 764.0}
{'S': 205.0, 'E1': -559.0, 'E0': 764.0}
{'S': 205.0, 'E1': -559.0, 'E0': 205.0}
{'S': 551.0, 'E1': -559.0, 'E0': 205.0}
{'S': 551.0, 'E1': -212.0, 'E0': 205.0}
{'S': 551.0, 'E1': -212.0, 'E0': 551.0}
{'S': 454.0, 'E1': -212.0, 'E0': 551.0}
{'S': 454.0, 'E1': -308.0, 'E0': 551.0}
{'S': 454.0, 'E1': -308.0, 'E0': 454.0}
{'S': 0.0, 'E1': -308.0, 'E0': 454.0}
{'S': 0.0, 'E1': 0.0, 'E0': 454.0}
{'S': 0.0, 'E1': 0.0, 'E0': 0.0}
{'S': 798.0, 'E1': 0.0, 'E0': 0.0}
{'S': 798.0, 'E1': 798.0, 'E0': 0.0}
{'S': 798.0, 'E1': 798.0, 'E0': 798.0}
{'S': 777.0, 'E1': 798.0, 'E0': 798.0}
{'S': 777.0, 'E1': 0.0, 'E0': 798.0}
{'S': 777.0, 'E1': 0.0, 'E0': 777.0}
{'S': 830.0, 'E1': 0.0, 'E0': 777.0}
{'S': 830.0, 'E1': 0.0, 'E0': 777.0}
{'S': 830.0, 'E1': 0.0, 'E0': 830.0}
{'S': 353.0, 'E1': 0.0, 'E0': 830.0}
{'S': 353.0, 'E1': 0.0, 'E0': 830.0}
{'S': 353.0, 'E1': 0.0, 'E0': 353.0}
{'S': 235.0, 'E1': 0.0, 'E0': 353.0}
{'S': 235.0, 'E1': -118.0, 'E0': 353.0}
{'S': 235.0, 'E1': -118.0, 'E0': 235.0}
{'S': 411.0, 'E1': -118.0, 'E0': 235.0}
{'S': 411.0, 'E1': 58.0, 'E0': 235.0}
{'S': 411.0, 'E1': 58.0, 'E0': 411.0}
{'S': 297.0, 'E1': 58.0, 'E0': 411.0}
{'S': 297.0, 'E1': -56.0, 'E0': 411.0}
{'S': 297.0, 'E1': -56.0, 'E0': 297.0}
{'S': 65.0, 'E1': -56.0, 'E0': 297.0}
{'S': 65.0, 'E1': -287.0, 'E0': 297.0}
{'S': 65.0, 'E1': -287.0, 'E0': 65.0}
{'S': 419.0, 'E1': -287.0, 'E0': 65.0}
{'S': 419.0, 'E1': 67.0, 'E0': 65.0}
{'S': 419.0, 'E1': 67.0, 'E0': 419.0}
{'S': 590.0, 'E1': 67.0, 'E0': 419.0}
{'S': 590.0, 'E1': 237.0, 'E0': 419.0}
{'S': 590.0, 'E1': 237.0, 'E0': 590.0}
{'S': 134.0, 'E1': 237.0, 'E0': 590.0}
{'S': 134.0, 'E1': -219.0, 'E0': 590.0}
{'S': 134.0, 'E1': -219.0, 'E0': 134.0}
{'S': 213.0, 'E1': -219.0, 'E0': 134.0}
{'S': 213.0, 'E1': 0.0, 'E0': 134.0}
{'S': 213.0, 'E1': 0.0, 'E0': 213.0}
{'S': 870.0, 'E1': 0.0, 'E0': 213.0}
{'S': 870.0, 'E1': 657.0, 'E0': 213.0}
{'S': 870.0, 'E1': 657.0, 'E0': 870.0}
{'S': 889.0, 'E1': 657.0, 'E0': 870.0}
{'S': 889.0, 'E1': 675.0, 'E0': 870.0}
{'S': 889.0, 'E1': 675.0, 'E0': 889.0}
{'S': 562.0, 'E1': 675.0, 'E0': 889.0}
{'S': 562.0, 'E1': 347.0, 'E0': 889.0}
{'S': 562.0, 'E1': 347.0, 'E0': 562.0}
{'S': 851.0, 'E1': 347.0, 'E0': 562.0}
{'S': 851.0, 'E1': 635.0, 'E0': 562.0}
{'S': 851.0, 'E1': 635.0, 'E0': 851.0}
{'S': 856.0, 'E1': 635.0, 'E0': 851.0}
{'S': 856.0, 'E1': 639.0, 'E0': 851.0}
{'S': 856.0, 'E1': 639.0, 'E0': 856.0}
{'S': 201.0, 'E1': 639.0, 'E0': 856.0}
{'S': 201.0, 'E1': 0.0, 'E0': 856.0}
{'S': 201.0, 'E1': 0.0, 'E0': 201.0}
{'S': 345.0, 'E1': 0.0, 'E0': 201.0}
{'S': 345.0, 'E1': 144.0, 'E0': 201.0}
{'S': 345.0, 'E1': 144.0, 'E0': 345.0}
{'S': 910.0, 'E1': 144.0, 'E0': 345.0}
{'S': 910.0, 'E1': 708.0, 'E0': 345.0}
{'S': 910.0, 'E1': 708.0, 'E0': 910.0}
{'S': 927.0, 'E1': 708.0, 'E0': 910.0}
{'S': 927.0, 'E1': 0.0, 'E0': 910.0}
{'S': 927.0, 'E1': 0.0, 'E0': 927.0}
{'S': 978.0, 'E1': 0.0, 'E0': 927.0}
{'S': 978.0, 'E1': 51.0, 'E0': 927.0}
{'S': 978.0, 'E1': 51.0, 'E0': 978.0}
{'S': 721.0, 'E1': 51.0, 'E0': 978.0}
{'S': 721.0, 'E1': -206.0, 'E0': 978.0}
{'S': 721.0, 'E1': -206.0, 'E0': 721.0}
{'S': 59.0, 'E1': -206.0, 'E0': 721.0}
{'S': 59.0, 'E1': -867.0, 'E0': 721.0}
{'S': 59.0, 'E1': -867.0, 'E0': 59.0}
{'S': 474.0, 'E1': -867.0, 'E0': 59.0}
{'S': 474.0, 'E1': 0.0, 'E0': 59.0}
{'S': 474.0, 'E1': 0.0, 'E0': 474.0}
{'S': 228.0, 'E1': 0.0, 'E0': 474.0}
{'S': 228.0, 'E1': -246.0, 'E0': 474.0}
{'S': 228.0, 'E1': -246.0, 'E0': 228.0}
{'S': 707.0, 'E1': -246.0, 'E0': 228.0}
{'S': 707.0, 'E1': 0.0, 'E0': 228.0}
{'S': 707.0, 'E1': 0.0, 'E0': 707.0}
{'S': 299.0, 'E1': 0.0, 'E0': 707.0}
{'S': 299.0, 'E1': 0.0, 'E0': 707.0}
{'S': 299.0, 'E1': 0.0, 'E0': 299.0}
{'S': 557.0, 'E1': 0.0, 'E0': 299.0}
{'S': 557.0, 'E1': 258.0, 'E0': 299.0}
{'S': 557.0, 'E1': 258.0, 'E0': 557.0}
{'S': 957.0, 'E1': 258.0, 'E0': 557.0}
{'S': 957.0, 'E1': 657.0, 'E0': 557.0}
{'S': 957.0, 'E1': 657.0, 'E0': 957.0}
{'S': 782.0, 'E1': 657.0, 'E0': 957.0}
{'S': 782.0, 'E1': 0.0, 'E0': 957.0}
{'S': 782.0, 'E1': 0.0, 'E0': 782.0}
{'S': 184.0, 'E1': 0.0, 'E0': 782.0}
