TRACE #1
--------------------------
{'x': 0.0, 'y': 0.0}
{'x': 0.0, 'y': 0.0, 'n': 472.0}
{'x': 0.0, 'y': 0.0, 'n': 472.0}
{'x': 0.0, 'y': 0.0, 'n': 472.0}
{'x': 0.0, 'y': 1975322323.0, 'n': 472.0}
{'x': 0.0, 'y': 1975322323.0, 'n': 472.0}
{'x': 1975322323.0, 'y': 1975322323.0, 'n': 472.0}
{'x': 0.0, 'y': 1975322323.0, 'n': 472.0}
{'x': 0.0, 'y': 1677426192.0, 'n': 472.0}
{'x': 0.0, 'y': 1677426192.0, 'n': 472.0}
{'x': 1677426192.0, 'y': 1677426192.0, 'n': 472.0}
{'x': 0.0, 'y': 1677426192.0, 'n': 472.0}
{'x': 0.0, 'y': 1173284139.0, 'n': 472.0}
{'x': 0.0, 'y': 1173284139.0, 'n': 472.0}
{'x': 1173284139.0, 'y': 1173284139.0, 'n': 472.0}
{'x': 0.0, 'y': 1173284139.0, 'n': 472.0}
{'x': 0.0, 'y': 1275775928.0, 'n': 472.0}
{'x': 0.0, 'y': 1275775928.0, 'n': 472.0}
{'x': 1275775928.0, 'y': 1275775928.0, 'n': 472.0}
{'x': 0.0, 'y': 1275775928.0, 'n': 472.0}
{'x': 0.0, 'y': 215841574.0, 'n': 472.0}
{'x': 0.0, 'y': 215841574.0, 'n': 472.0}
{'x': 215841574.0, 'y': 215841574.0, 'n': 472.0}
{'x': 0.0, 'y': 215841574.0, 'n': 472.0}
{'x': 0.0, 'y': 230626311.0, 'n': 472.0}
{'x': 0.0, 'y': 230626311.0, 'n': 472.0}
{'x': 230626311.0, 'y': 230626311.0, 'n': 472.0}
{'x': 0.0, 'y': 230626311.0, 'n': 472.0}
{'x': 0.0, 'y': 470918257.0, 'n': 472.0}
{'x': 0.0, 'y': 470918257.0, 'n': 472.0}
{'x': 470918257.0, 'y': 470918257.0, 'n': 472.0}
{'x': 0.0, 'y': 470918257.0, 'n': 472.0}
{'x': 0.0, 'y': 1618463968.0, 'n': 472.0}
{'x': 0.0, 'y': 1618463968.0, 'n': 472.0}
{'x': 1618463968.0, 'y': 1618463968.0, 'n': 472.0}
{'x': 0.0, 'y': 1618463968.0, 'n': 472.0}
{'x': 0.0, 'y': 982851930.0, 'n': 472.0}
{'x': 0.0, 'y': 982851930.0, 'n': 472.0}
{'x': 982851930.0, 'y': 982851930.0, 'n': 472.0}
{'x': 0.0, 'y': 982851930.0, 'n': 472.0}
{'x': 0.0, 'y': 852258290.0, 'n': 472.0}
{'x': 0.0, 'y': 852258290.0, 'n': 472.0}
{'x': 852258290.0, 'y': 852258290.0, 'n': 472.0}
{'x': 0.0, 'y': 852258290.0, 'n': 472.0}
{'x': 0.0, 'y': 1894592701.0, 'n': 472.0}
{'x': 0.0, 'y': 1894592701.0, 'n': 472.0}
{'x': 1894592701.0, 'y': 1894592701.0, 'n': 472.0}
{'x': 0.0, 'y': 1894592701.0, 'n': 472.0}
{'x': 0.0, 'y': 1694777304.0, 'n': 472.0}
{'x': 0.0, 'y': 1694777304.0, 'n': 472.0}
{'x': 1694777304.0, 'y': 1694777304.0, 'n': 472.0}
{'x': 0.0, 'y': 1694777304.0, 'n': 472.0}
{'x': 0.0, 'y': 820156910.0, 'n': 472.0}
{'x': 0.0, 'y': 820156910.0, 'n': 472.0}
{'x': 820156910.0, 'y': 820156910.0, 'n': 472.0}
{'x': 0.0, 'y': 820156910.0, 'n': 472.0}
{'x': 0.0, 'y': 1021887677.0, 'n': 472.0}
{'x': 0.0, 'y': 1021887677.0, 'n': 472.0}
{'x': 1021887677.0, 'y': 1021887677.0, 'n': 472.0}
{'x': 0.0, 'y': 1021887677.0, 'n': 472.0}
{'x': 0.0, 'y': 303520362.0, 'n': 472.0}
{'x': 0.0, 'y': 303520362.0, 'n': 472.0}
{'x': 303520362.0, 'y': 303520362.0, 'n': 472.0}
{'x': 0.0, 'y': 303520362.0, 'n': 472.0}
{'x': 0.0, 'y': 846133770.0, 'n': 472.0}
{'x': 0.0, 'y': 846133770.0, 'n': 472.0}
{'x': 846133770.0, 'y': 846133770.0, 'n': 472.0}
{'x': 0.0, 'y': 846133770.0, 'n': 472.0}
{'x': 0.0, 'y': 476103300.0, 'n': 472.0}
{'x': 0.0, 'y': 476103300.0, 'n': 472.0}
{'x': 476103300.0, 'y': 476103300.0, 'n': 472.0}
{'x': 0.0, 'y': 476103300.0, 'n': 472.0}
{'x': 0.0, 'y': 1523928173.0, 'n': 472.0}
{'x': 0.0, 'y': 1523928173.0, 'n': 472.0}
{'x': 1523928173.0, 'y': 1523928173.0, 'n': 472.0}
{'x': 0.0, 'y': 1523928173.0, 'n': 472.0}
{'x': 0.0, 'y': 173405821.0, 'n': 472.0}
{'x': 0.0, 'y': 173405821.0, 'n': 472.0}
{'x': 173405821.0, 'y': 173405821.0, 'n': 472.0}
{'x': 0.0, 'y': 173405821.0, 'n': 472.0}
{'x': 0.0, 'y': 1878049972.0, 'n': 472.0}
{'x': 0.0, 'y': 1878049972.0, 'n': 472.0}
{'x': 1878049972.0, 'y': 1878049972.0, 'n': 472.0}
{'x': 0.0, 'y': 1878049972.0, 'n': 472.0}
{'x': 0.0, 'y': 1137693572.0, 'n': 472.0}
{'x': 0.0, 'y': 1137693572.0, 'n': 472.0}
{'x': 1137693572.0, 'y': 1137693572.0, 'n': 472.0}
{'x': 0.0, 'y': 1137693572.0, 'n': 472.0}
{'x': 0.0, 'y': 335245503.0, 'n': 472.0}
{'x': 0.0, 'y': 335245503.0, 'n': 472.0}
{'x': 335245503.0, 'y': 335245503.0, 'n': 472.0}
{'x': 0.0, 'y': 335245503.0, 'n': 472.0}
{'x': 0.0, 'y': 1198126907.0, 'n': 472.0}
{'x': 0.0, 'y': 1198126907.0, 'n': 472.0}
{'x': 1198126907.0, 'y': 1198126907.0, 'n': 472.0}
{'x': 0.0, 'y': 1198126907.0, 'n': 472.0}
{'x': 0.0, 'y': 2115383586.0, 'n': 472.0}
{'x': 0.0, 'y': 2115383586.0, 'n': 472.0}
{'x': 2115383586.0, 'y': 2115383586.0, 'n': 472.0}
{'x': 0.0, 'y': 2115383586.0, 'n': 472.0}
{'x': 0.0, 'y': 1045971259.0, 'n': 472.0}
{'x': 0.0, 'y': 1045971259.0, 'n': 472.0}
{'x': 1045971259.0, 'y': 1045971259.0, 'n': 472.0}
{'x': 0.0, 'y': 1045971259.0, 'n': 472.0}
{'x': 0.0, 'y': 466617205.0, 'n': 472.0}
{'x': 0.0, 'y': 466617205.0, 'n': 472.0}
{'x': 466617205.0, 'y': 466617205.0, 'n': 472.0}
{'x': 0.0, 'y': 466617205.0, 'n': 472.0}
{'x': 0.0, 'y': 492308764.0, 'n': 472.0}
{'x': 0.0, 'y': 492308764.0, 'n': 472.0}
{'x': 492308764.0, 'y': 492308764.0, 'n': 472.0}
{'x': 0.0, 'y': 492308764.0, 'n': 472.0}
{'x': 0.0, 'y': 653835207.0, 'n': 472.0}
{'x': 0.0, 'y': 653835207.0, 'n': 472.0}
{'x': 653835207.0, 'y': 653835207.0, 'n': 472.0}
{'x': 0.0, 'y': 653835207.0, 'n': 472.0}
{'x': 0.0, 'y': 1017113802.0, 'n': 472.0}
{'x': 0.0, 'y': 1017113802.0, 'n': 472.0}
{'x': 1017113802.0, 'y': 1017113802.0, 'n': 472.0}
{'x': 0.0, 'y': 1017113802.0, 'n': 472.0}
{'x': 0.0, 'y': 535223116.0, 'n': 472.0}
{'x': 0.0, 'y': 535223116.0, 'n': 472.0}
{'x': 535223116.0, 'y': 535223116.0, 'n': 472.0}
{'x': 0.0, 'y': 535223116.0, 'n': 472.0}
{'x': 0.0, 'y': 932858679.0, 'n': 472.0}
{'x': 0.0, 'y': 932858679.0, 'n': 472.0}
{'x': 932858679.0, 'y': 932858679.0, 'n': 472.0}
{'x': 0.0, 'y': 932858679.0, 'n': 472.0}
{'x': 0.0, 'y': 844952477.0, 'n': 472.0}
{'x': 0.0, 'y': 844952477.0, 'n': 472.0}
{'x': 844952477.0, 'y': 844952477.0, 'n': 472.0}
{'x': 0.0, 'y': 844952477.0, 'n': 472.0}
{'x': 0.0, 'y': 65165660.0, 'n': 472.0}
{'x': 0.0, 'y': 65165660.0, 'n': 472.0}
{'x': 65165660.0, 'y': 65165660.0, 'n': 472.0}
{'x': 0.0, 'y': 65165660.0, 'n': 472.0}
{'x': 0.0, 'y': 2106142819.0, 'n': 472.0}
{'x': 0.0, 'y': 2106142819.0, 'n': 472.0}
{'x': 2106142819.0, 'y': 2106142819.0, 'n': 472.0}
{'x': 0.0, 'y': 2106142819.0, 'n': 472.0}
{'x': 0.0, 'y': 2120728405.0, 'n': 472.0}
{'x': 0.0, 'y': 2120728405.0, 'n': 472.0}
{'x': 2120728405.0, 'y': 2120728405.0, 'n': 472.0}
