TRACE #1
--------------------------
{'x': 67.0}
{'z': 185.0, 'x': 67.0}
{'z': 185.0, 'x': 67.0, 'tmp': 1.0}
{'z': 185.0, 'x': 68.0, 'tmp': 1.0}
{'z': 185.0, 'x': 68.0, 'tmp': 1.0}
{'z': 185.0, 'x': 69.0, 'tmp': 1.0}
{'z': 185.0, 'x': 69.0, 'tmp': 0.0}
{'z': 185.0, 'x': 68.0, 'tmp': 0.0}
{'z': 184.0, 'x': 68.0, 'tmp': 0.0}
{'z': 184.0, 'x': 68.0, 'tmp': 0.0}
{'z': 184.0, 'x': 67.0, 'tmp': 0.0}
{'z': 183.0, 'x': 67.0, 'tmp': 0.0}
{'z': 183.0, 'x': 67.0, 'tmp': 0.0}
{'z': 183.0, 'x': 66.0, 'tmp': 0.0}
{'z': 182.0, 'x': 66.0, 'tmp': 0.0}
{'z': 182.0, 'x': 66.0, 'tmp': 1.0}
{'z': 182.0, 'x': 67.0, 'tmp': 1.0}
{'z': 182.0, 'x': 67.0, 'tmp': 1.0}
{'z': 182.0, 'x': 68.0, 'tmp': 1.0}
{'z': 182.0, 'x': 68.0, 'tmp': 1.0}
{'z': 182.0, 'x': 69.0, 'tmp': 1.0}
{'z': 182.0, 'x': 69.0, 'tmp': 0.0}
{'z': 182.0, 'x': 68.0, 'tmp': 0.0}
{'z': 181.0, 'x': 68.0, 'tmp': 0.0}
{'z': 181.0, 'x': 68.0, 'tmp': 1.0}
{'z': 181.0, 'x': 69.0, 'tmp': 1.0}
{'z': 181.0, 'x': 69.0, 'tmp': 1.0}
{'z': 181.0, 'x': 70.0, 'tmp': 1.0}
{'z': 181.0, 'x': 70.0, 'tmp': 0.0}
{'z': 181.0, 'x': 69.0, 'tmp': 0.0}
{'z': 180.0, 'x': 69.0, 'tmp': 0.0}
{'z': 180.0, 'x': 69.0, 'tmp': 0.0}
{'z': 180.0, 'x': 68.0, 'tmp': 0.0}
{'z': 179.0, 'x': 68.0, 'tmp': 0.0}
{'z': 179.0, 'x': 68.0, 'tmp': 1.0}
{'z': 179.0, 'x': 69.0, 'tmp': 1.0}
{'z': 179.0, 'x': 69.0, 'tmp': 0.0}
{'z': 179.0, 'x': 68.0, 'tmp': 0.0}
